14,2012,1,11,11,0,2012/12/25,2,　　ＦＫ－１２３　　１台,見積もり提出中
14,2013,1,11,11,0,2013/11/20,5,"消火器： A-３×４本　新品交換
誘導灯： Ｂ級避難口×１台　新品交換",請求済み
14,2013,1,12,5,0,2013/6/11,5,　誘導灯ﾊﾞｯﾃﾘｰ１台Ｃ級（前回と同じ）　　　消火器Ａ－３　２本　　（１本　￥７０００）,請求済み
15,2010,1,11,5,0,2010/6/5,5,火報　　煙感知器　　１ヶ所　交換済み　　　２００００円,請求済み
15,2011,1,11,5,0,2011/6/30,5,火報　　増設　　差動式ｽﾎﾟｯﾄ　　１ヶ　　０．９　ＯＰＸ４Ｃ　１０Ｍ　１００００円,請求済み
16,2010,1,11,11,0,2010/12/16,2,　誘導灯　C級　ﾀﾞｲｵｰﾄﾞ　　避難口　２台　　　　消火器A-3　３本,見積もり提出中
16,2010,1,12,5,0,2010/5/19,5,消火器　　Ａ－３　　４本　　　６５００円　　　誘導灯　　　Ｃ級　　片面　　１台　　非常口,請求済み
16,2011,1,12,5,0,2011/5/27,5,消火器　　A-３　　　３本　　６５００円　　　誘導灯　　C級　　２台交換,請求済み
17,2010,1,11,5,0,2010/6/7,5,誘導灯　　　ＦＫ－１８２　　４台,請求済み
17,2011,1,11,5,0,2011/6/2,2,消火器　　　Ａ－３　　　５本　　　６５００円　　　火報　　　ベル交換済み　　１ケ所　　　４０００円,見積もり提出中
17,2012,1,11,5,0,2012/6/1,5,"消火器　Ａ－３　２本　２０１１年製　　１本　５，０００にて販売　　　　　　
Ｃ級片面誘導灯避難口　１台",請求済み
17,2013,1,11,5,0,2013/5/29,5,"消火器　ＡＢＣ１０型　　２本

誘導灯バッテリー　ＦＫ１３６　　１本",請求済み
18,2010,1,11,5,0,2010/6/5,5,消火器　　Ａ－３　　２本　　　６５００円,請求済み
18,2011,1,11,5,0,2011/7/1,2,"誘導灯　高輝度　B級　計2台　つり下げ金具　１台

避難口　片面右矢印　及び　片面左矢印　 　各１台",見積もり提出中
19,2011,1,11,9,0,2011/10/11,5,消火器　　ABC粉末１０型　　　　　４本,請求済み
19,2012,1,11,9,0,2012/9/25,5,消火器　　ＡＢＣ粉末１０型　　１本　　　　ＡＢＣ粉末２０型　　　２本　　　　　２０型２本入れＢＯＸ　　　１個,請求済み
21,2010,1,11,5,0,2010/6/17,5,消火器　　１本用ボックス　　１台　　　火報　　　バッテリー　　　１．２Ａｈ　　　誘導灯　　Ｃ級　片面１台　,請求済み
21,2011,1,11,5,0,2011/6/21,5,"消火器　Ａ－３　６本交換　

￥６，５００　",請求済み
21,2014,1,11,5,0,2014/5/27,1,誘導灯　　Ｃ級　片面　３台　　左←　１台　　Ｃ級　両面　１台　右　左矢印,見積もり依頼
22,2010,1,11,11,0,2010/12/7,5,消火器　　Ａ－３　　　２本　　　　６５００円,請求済み
22,2010,1,12,5,0,2010/5/10,6,消火器　　Ａ－３　　２本　　　６５００円,対応不要
22,2013,1,11,11,0,2013/11/30,5,消火器　　Ａ－３　　２本廃棄　　１５００円,請求済み
24,2010,1,11,5,0,2010/5/19,5,消火器　　Ａ－３　　７本　　５７００円,請求済み
24,2011,1,11,5,0,2011/6/1,5,消火器　　　A-3　　７本　　　６５００円,請求済み
24,2012,1,11,5,0,2012/5/22,5,ニッタン　Ｐ型１級受信機　取替え,請求済み
25,2011,1,11,5,0,2011/5/20,5,"消火器　　中性強化液　　３?　　　３本
誘導灯　　　バッテリー不良　　　FK-２７７　　　１個
自火報　　　　ﾍﾞﾙ増設工事　　　HOP　０.９×２C　　　　３０ｍ　　　　ﾍﾞﾙ　　　１個　　　　　配線は簡単に",請求済み
28,2012,1,11,11,0,2012/11/20,2,避難ハッチ： 蓋の上のシール４枚,見積もり提出中
28,2012,1,12,5,0,2012/11/19,5,自火報： 受信機バッテリー交換　DC24V０.６Ah,請求済み
28,2014,1,12,5,0,2014/5/23,2,消火器： Ａ－３×２２本 ・ Ａ－５×１本　　予算取りの為、見積りお願いします。,見積もり提出中
30,2011,1,11,5,0,2011/5/30,5,誘導灯　　　B級　　両面　　１台,請求済み
30,2012,1,11,5,0,2012/6/4,5,誘導灯　バッテリ－　交換　　ＦＫ１３６　Ｘ　１台　　注文済　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　誘導灯Ｃ級片面通路→　Ｘ１台（リニュ－アルプレ－トも）　（既存は埋込タイプ）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,請求済み
30,2013,1,11,5,0,2013/5/15,5,誘導灯バッテリー　　ＦＫ１３６　　Ｘ　１,請求済み
32,2010,1,11,5,0,2010/6/5,5,消火器　　Ａ－３　　１本　　　６５００円　　　誘導灯　　バッテリー　　５ＮＲ－Ｃ－Ｓ　　１台,請求済み
34,2010,1,11,5,0,2010/6/17,5,火報　　　ベル　　１台交換済み　　４０００円,請求済み
34,2011,1,12,11,0,2011/11/19,0,"誘導灯　避難口 Ｂ級　両面　方矢印 ×　１台
　　　　　避難口　Ｃ級　片面　　　　　　×１台　",
34,2013,1,12,11,0,2013/11/12,2,消火器　　Ａ－１０　　１本　　入れ替え,見積もり提出中
36,2011,1,12,5,0,2011/5/20,5,自火報　　定温式特種感知器　　１個,請求済み
36,2012,1,12,5,0,2012/5/17,5,防火戸イジェクター不良交換　　　　１個,請求済み
36,2013,1,12,5,0,2013/5/15,5,防火戸イジェクター不良交換　　　アーム型　　　　１個,請求済み
40,2012,1,12,5,0,2012/5/17,5,自火報　　煙感知器ヘッド不良交換　　　１個,請求済み
43,2011,1,12,5,0,2011/5/20,5,"自火報　　差動式感知器　　１個　　　煙感知器２種　　２個
防火戸　　煙感知器３種　　１個",請求済み
44,2011,1,11,5,0,2011/5/23,5,消火器　　　A-3     4本,請求済み
47,2011,1,11,5,0,2011/6/1,5,消火器　　廃棄処分　　１０本　　　１２００円,請求済み
48,2010,1,11,5,0,2010/6/4,5,"誘導灯　　バッテリー不良　　　　ＦＫ－６４６　　２個
非常灯　　バッテリー不良　　　　ＦＫ－６９０Ｂ　２個",請求済み
48,2010,1,12,11,0,2010/12/22,2,誘導灯　　バッテリー不良　　　ＦＫ－３８１×２個　　　ＦＫ－６４６×２個,見積もり提出中
48,2011,1,12,11,0,2012/7/20,2,"誘導灯　　バッテリー不良　　　ＦＫ－６４６　　１個
非常灯　　バッテリー不良　　　東芝製　　３ＮＲ－CX-ＢＥ　　１個　　　　４ＮＲ－ＣＸ－ＢＥ　　　２個",見積もり提出中
48,2012,1,11,5,0,2012/5/31,5,"誘導灯　　　バッテリー不良　　　ＦＫ－６４６　　　２個
非常灯　　　バッテリー不良　　　３ＮＲ－ＣＸ－ＢＥ　　　１個　　　　　４ＮＲ－ＣＸ－ＢＥ　　　２個",請求済み
48,2012,1,12,11,0,2012/11/21,5,"誘導灯　　バッテリー不良　　　ＦＫ－６４６　　　１個
非常灯　　バッテリー不良　　　東芝製　　　４ＮＲ－ＣＸ－ＢＥ　　　１個
火通報　　バッテリー不良　　　１２Ｖ　　８００ｍＡｈ　　　　　１個",請求済み
48,2013,1,11,5,0,2013/6/28,5,誘導灯　　バッテリー不良　　　ＦＫ－６４６　　　２個,請求済み
48,2014,1,11,5,0,2014/5/23,5,"誘導灯　　バッテリー不良　　ＦＫ－６４６　　１個
非常灯　　バッテリー不良　　ＦＫ－６９７Ｂ　　１個",請求済み
49,2010,1,12,11,0,2010/12/22,2,"非常灯　　バッテリー不良　　ＦＫ－６９７Ｋ　　１個
自家発　　バッテリー期限切れの為　　　ＭＳＥ１００－６形　　１２Ｖ　　１００Ａｈ",見積もり提出中
49,2011,1,11,5,0,2011/5/20,2,"誘導灯バッテリー不良　ＦＫ－６２７Ａ　１個
非常灯バッテリー不良　ＦＫ－６９７Ｋ　１個
自家発電設備起動用バッテリー　　ＭＳＥ１００－６形１２Ｖ　２個　（取替時期の目安が過ぎている）",見積もり提出中
49,2011,1,12,11,0,2012/8/6,5,"火通報　　　バッテリー不良　　１２Ｖ　５００ｍＡｈ
非常灯　　　バッテリー不良　　ＦＫ－６９７Ｋ　　　　１個
自家発　　　バッテリー期限切れのため　　　ＭＳＥ１００－６形　１２Ｖ　　　２台",請求済み
49,2012,1,11,5,0,2012/8/3,5,"消火器　　ＡＢＣ粉末１０型　　　６本
非常灯　　バッテリー不良　　　ＦＫ－６９７Ｋ　　　　１個
自家発　　バッテリー不良　　　ＭＳＥ１００－６形　１２Ｖ　　　２個",請求済み
49,2012,1,12,11,0,2012/11/29,5,"ＡＢＣ粉末１０型消火器　　　　６本
誘導灯　　　バッテリー不良　　　ＦＫ－６２７Ａ　　　１個",請求済み
49,2014,1,11,5,0,2014/5/22,2,"誘導灯　　バッテリー不良　　　　ＦＫ－６２７Ａ　　　１個
非常灯　　バッテリー不良　　　　ＦＫ－６９７Ｋ　　　１個",見積もり提出中
50,2011,1,11,11,0,2011/12/20,5,自火報受信機バッテリー不良×１個（ＤＣ２４Ｖ　０.４５Ａｈ）,請求済み
50,2011,1,12,5,0,2011/5/19,5,消火器１０型×１本,請求済み
50,2012,1,11,11,0,2013/5/13,5,"①消火器１０型×６本　更新
②消火器廃棄×２本
①・②を別々に作成してください。",請求済み
50,2014,1,12,5,0,2014/5/31,2,非常灯バッテリー　ＦＫ６９７Ｋ　　Ｘ１,見積もり提出中
51,2013,1,11,11,0,2014/3/13,5,別紙,請求済み
52,2012,1,11,11,0,2012/10/20,5,消火器　Ａ－３　４本,請求済み
52,2014,1,12,5,0,2014/5/31,2,火災通報装置バッテリー（松下製）　　ＤＣ１２Ｖ０．８ＡＨ５ＨＲ　　Ｘ１,見積もり提出中
53,2010,1,12,11,0,2010/11/16,2,自火報： 受信機バッテリー不良。ＤＣ２４Ｖ ０.４５Ａｈ,見積もり提出中
53,2011,1,11,5,0,2011/6/9,2,"自火報： バッテリー不良。ＤＣ２４Ｖ  ０.４５Ah
屋内消火栓： 配管修繕。見積りユウキサービスに依頼",見積もり提出中
53,2011,1,12,11,0,2011/11/11,2,自火報： 受信機バッテリー不良。前回と同じ,見積もり提出中
53,2012,1,11,5,0,2012/5/29,2,"屋内消火栓： ４０Ａホース×８本　新品交換
自火報： 受信機バッテリー ０.４５Ａｈ　新品交換

消火器： 来年度交換予算の為、別見積りで。Ａ－３×１４本　新品交換",見積もり提出中
53,2012,1,12,11,0,2012/11/29,2,前回と同じ,見積もり提出中
53,2013,1,11,5,0,2013/8/28,5,"消火器： Ａ－３×１４本　新品交換
屋内栓： ４０Ａホース×８本　　新品交換
自火報： ＤＣ２４Ｖ ０.４５Ａｈバッテリー　新品交換",請求済み
54,2012,1,11,7,0,2012/8/8,5,　避難器具　オリロー　取説１枚　見積り願います。,請求済み
56,2010,1,12,11,0,2011/5/11,5,"自火報：受信機バッテリー不良　×１個（DC２４V　１.２Ah）
パッケージ型消火設備：ﾊﾂﾀ製HSSW-８２５S型　　加圧用窒素ガス交換×１本（５６５ｇ）",請求済み
